Data Size (GB),Throughput (KB/s),Time Taken (s)
0.125,0.0639836,15.629
0.25,0.042878,23.322
0.375,0.0292278,34.214
0.5,0.0218036,45.864
0.625,0.0158917,62.926
0.75,0.01197,80.542
0.875,0.0124549,83.29
1,0.00946584,105.643
