Data Size (GB),Throughput (KB/s),Time Taken (s)
0.125,0.003396,375.096
0.25,0.0018642,536.46
0.375,0.0016278,615.852
0.5,0.001038,963.144
0.625,0.000836,1195.59
0.75,0.000595,1610.84
0.875,0.000668,1743.87
1,0.000473,2112.86
