Data Size (GB),Throughput (KB/s),Time Taken (s)
0.125,0.002978,356.41
0.25,0.001616,618.668
0.375,0.001418,706.491
0.5,0.000925,1080.101
0.625,0.000671,1488.13
0.75,0.000507,1888.619
0.875,0.000537,2165.272
1,0.000393,2.402646
