Data Size (GB),Throughput (KB/s),Time Taken (s)
0.125,0.002060,485.25
0.25,0.001276,783.285
0.375,0.000945,1057.41
0.5,0.000642,1556.70
0.625,0.000495,2019.694
0.75,0.000348,2765.702
0.875,0.000359,2883.61
1,0.000288,3472.079
